part,sheets,url
12AT7,1,https://github.com/hhvergara/HV-electronic-projects
12AT7,1,https://github.com/holla2040/valvestudio
12AT7,1,https://github.com/oletizi/multi-channel-preamp
12AU7,1,https://github.com/Synthron/SymAsym
12AU7,2,https://github.com/jonathan-tooley/903
12AX7,2,https://github.com/0m-ax/kicad
12AX7,1,https://github.com/D4p0up/ValveLord
12AX7,2,https://github.com/DasBasti/KiCad
12AX7,4,https://github.com/Dguto9/modular-amp
12AX7,2,https://github.com/FOSSEE/KiCad-eSim
12AX7,2,https://github.com/Haxk20/kicad-allegro
12AX7,2,https://github.com/ImogenWren/imogens-kicad-library
12AX7,1,https://github.com/Junupark/KiCad-demos
12AX7,2,https://github.com/KiCad-RU/kicad-gost-committers
12AX7,4,https://github.com/KiCad/kicad-source-mirror
12AX7,2,https://github.com/KiCadServices/kicad_base
12AX7,4,https://github.com/McColson/Stompbox-G5
12AX7,3,https://github.com/MechatronikMonkey/NixiePowerMeter
12AX7,2,https://github.com/SanderSteeghs/kicad
12AX7,1,https://github.com/Synthron/SymAsym
12AX7,2,https://github.com/The-Circuit-Board-Factory/kicad
12AX7,4,https://github.com/a-wai/ampfactory
12AX7,1,https://github.com/a-wai/fat_bastard
12AX7,2,https://github.com/adom-inc/kicad_lib
12AX7,2,https://github.com/alephobjects/KiCad
12AX7,3,https://github.com/alvaro17m/Guitar-Tube-Valve-Amplifier-
12AX7,1,https://github.com/artsi0m/HS_tube_KiCAD
12AX7,2,https://github.com/axello/kicad
12AX7,1,https://github.com/bitomaxsp/rca-wv98c
12AX7,1,https://github.com/charlieh0tel/ee_stuff
12AX7,2,https://github.com/circuitly/ecc83
12AX7,1,https://github.com/fujiihc/IICPP_Clone
12AX7,1,https://github.com/holla2040/valvestudio
12AX7,2,https://github.com/janisozaur/kicad
12AX7,2,https://github.com/johnbeard/kicad
12AX7,1,https://github.com/majabojarska/bumble-tuby
12AX7,2,https://github.com/matmoj04/other_projects
12AX7,1,https://github.com/mekanix/ultimate-amp
12AX7,2,https://github.com/mkschreder/kicad
