part,kind,source,category,note,priority,aliases
SSM2134,ic-audio,audio documents,2 documents (groupdiy_threads),made by Analog Devices (Originally Solid State Music/Solid State Microtechnology),3,
SSM2135,ic-audio,audio documents,2 documents (groupdiy_threads),made by Analog Devices (originally SSM),3,
SSM2141,ic-audio,audio documents,"10 documents (esp, groupdiy_threads)",made by Analog Devices (formerly SSM),2,
SSM2142,ic-audio,audio documents,"35 documents (esp, groupdiy_threads)",made by Analog Devices (formerly Solid State Microtechnology),2,
SSM2143,ic-audio,audio documents,5 documents (groupdiy_threads),made by Analog Devices (formerly Solid State Music / Analog Devices acquisition),3,
SSM2402,ic-audio,audio documents,"5 documents (esp, groupdiy_threads)",made by Analog Devices (SSM),3,
SSM2412,ic-audio,audio documents,"4 documents (esp, groupdiy_threads)",made by Analog Devices (formerly Solid State Micro Technology),3,
STK4040,ic-audio,audio documents,3 documents (el34world),,3,
STK4042,ic-audio,audio documents,3 documents (esp),made by Sanyo (now part of Panasonic),3,
TA2020,ic-audio,audio documents,2 documents (esp),made by Tripath (now Cirrus Logic),3,
TA7136,opamp,audio documents,"6 documents (el34world, groupdiy_threads, schematicheaven)",made by Toshiba?,2,
TA7140,opamp,audio documents,2 documents (el34world),,3,
TA7200,ic-audio,audio documents,"6 documents (el34world, schematicheaven)",made by Toshiba/other,3,
TA7220,ic-audio,audio documents,2 documents (el34world),,3,
TA7322,opamp,audio documents,"30 documents (el34world, groupdiy_threads)",made by Toshiba (TA series),2,
TDA1034,ic-audio,audio documents,"10 documents (esp, groupdiy_threads, keithsnook)",made by Philips/Signetics (historic),2,
TDA1514,ic-audio,audio documents,"5 documents (el34world, schematicheaven)",,3,
TDA2005,ic-audio,audio documents,"6 documents (el34world, schematicheaven)",made by SGS/ST,3,
TDA2040,ic-audio,audio documents,"15 documents (el34world, esp, schematicheaven)",made by STMicroelectronics,2,
TDA7297,ic-audio,audio documents,"7 documents (esp, groupdiy_threads)",made by STMicroelectronics (various),3,
TDA7375,ic-audio,audio documents,2 documents (esp),made by STMicroelectronics,3,
TDA7560,ic-audio,audio documents,2 documents (esp),made by STMicroelectronics,3,
TDA8920,ic-audio,audio documents,"2 documents (el34world, groupdiy_threads)",made by STMicroelectronics,3,
TDA8954,ic-audio,audio documents,4 documents (esp),made by NXP (Philips),3,
THAT1200,opamp,audio documents,4 documents (groupdiy_threads),made by THAT,3,
THAT1240,ic-audio,audio documents,5 documents (groupdiy_threads),made by THAT Corporation,3,
THAT1243P08-U,ic-audio,musikding.de,ICs / THAT ICs,,2,THAT1243
THAT1246,ic-audio,audio documents,7 documents (groupdiy_threads),made by THAT Corporation,3,
THAT1570,ic-audio,audio documents,4 documents (groupdiy_threads),made by THAT,3,
THAT1606,opamp,audio documents,"6 documents (el34world, groupdiy_threads)",made by THAT,3,
THAT1646,opamp,audio documents,37 documents (groupdiy_threads),made by THAT Corporation,2,
THAT2002,vca,audio documents,2 documents (groupdiy_threads),made by That Corporation,3,
THAT2159,vca,audio documents,"2 documents (el34world, groupdiy_threads)",made by THAT Corporation,3,
THAT2252,ic-audio,audio documents,"11 documents (esp, groupdiy_threads)",made by THAT Corporation,2,
THAT300P14-U,ic-audio,musikding.de,ICs / THAT ICs,NPN,2,THAT300
THAT320P14-U,ic-audio,musikding.de,ICs / THAT ICs,PNP,2,THAT320
THAT5171,vca,audio documents,3 documents (groupdiy_threads),made by THAT Corporation,3,
TIP111,bjt,Harris Bipolar Power Transistors (1992),NPN darlington,16 magazine pages mention it,3,
TIP115,bjt,Harris Bipolar Power Transistors (1992),PNP darlington,36 magazine pages mention it,3,
TIP116,bjt,Harris Bipolar Power Transistors (1992),PNP darlington,14 magazine pages mention it,3,
TIP117,bjt,Harris Bipolar Power Transistors (1992),PNP darlington,42 magazine pages mention it,3,
TIP126,bjt,Harris Bipolar Power Transistors (1992),PNP darlington,84 magazine pages mention it,2,
TIP146,bjt,databook,,,3,
TIP29,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,76 magazine pages mention it,2,
TIP29A,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,136 magazine pages mention it,2,
TIP29B,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,7 magazine pages mention it,3,
TIP30,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,101 magazine pages mention it,2,
TIP30A,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,126 magazine pages mention it,2,
TIP30B,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,7 magazine pages mention it,3,
TIP31,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,375 magazine pages mention it,2,
TIP31A,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,397 magazine pages mention it,2,
TIP31B,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,48 magazine pages mention it,3,
TIP32,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,132 magazine pages mention it,2,
TIP32A,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,218 magazine pages mention it,2,
TIP32B,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,8 magazine pages mention it,3,
TIP41,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,143 magazine pages mention it,2,
TIP41A,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,249 magazine pages mention it,2,
TIP41B,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,14 magazine pages mention it,3,
TIP42,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,52 magazine pages mention it,2,
TIP42A,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,170 magazine pages mention it,2,
TIP42B,bjt,Harris Bipolar Power Transistors (1992),NPN/PNP,17 magazine pages mention it,3,
TIP48,bjt,Harris Bipolar Power Transistors (1992),NPN,2 magazine pages mention it,3,
TIP49,bjt,Harris Bipolar Power Transistors (1992),NPN,8 magazine pages mention it,3,
TL051,opamp,audio documents,3 documents (groupdiy_threads),made by Texas Instruments/others,3,
TL5001,smps,audio documents,2 documents (groupdiy_threads),made by Texas Instruments (and others),3,
TLC2264,opamp,audio documents,"2 documents (freestompboxes_threads, groupdiy_threads)",made by Texas Instruments,3,
TLC27M4A,opamp,musikding.de,ICs / TL.../NE.../4558,,2,
TLC549,digital-audio,audio documents,2 documents (el34world),made by Texas Instruments (TI),3,
TLE2074,opamp,audio documents,5 documents (groupdiy_threads),made by Texas Instruments,3,
TLE2082,opamp,audio documents,3 documents (groupdiy_threads),made by Texas Instruments,3,
TLP123,opto,audio documents,2 documents (ampgarage_threads),made by Toshiba,3,
TLP227,opto,audio documents,"2 documents (el34world, schematicheaven)",,3,
TLP552,opto,audio documents,3 documents (el34world),made by Toshiba / others,3,
UA709,opamp,audio documents,"3 documents (esp, groupdiy_threads)",made by Fairchild/National (uA709),3,
uA723,regulator,audio documents,2 documents (groupdiy_threads),made by Various,3,
UPC1458,opamp,audio documents,"2 documents (el34world, schematicheaven)",made by NEC (uPC),3,
uPC324,opamp,audio documents,2 documents (el34world),made by NEC/ROHM/etc.,3,
UPC4570,opamp,audio documents,"5 documents (el34world, schematicheaven)",made by NEC/μPC,3,
V2153M,vca,musikding.de,ICs / CoolAudio ICs,,2,DBX2153
V3208D,ic-audio,musikding.de,ICs / CoolAudio ICs,,2,MN3208
V3320,ic-audio,musikding.de,ICs / CoolAudio ICs,,2,CEM3320 AS3320
V411,ic-audio,musikding.de,ICs / CoolAudio ICs,,2,DG411
V4220,ic-audio,musikding.de,ICs / CoolAudio ICs,,2,SSM2220
VT93N1,opto,musikding.de,,,2,
VTL5C2,opto,audio documents,"17 documents (el34world, esp, groupdiy_threads, schematicheaven)",made by Vactec / PerkinElmer style (historic),2,
VTL5C7,opto,audio documents,"40 documents (el34world, groupdiy_threads)",made by Vactec / PerkinElmer (historical),2,
VTL5C9,opto,audio documents,"6 documents (el34world, groupdiy_threads, schematicheaven)",,2,
ZTX951,bjt,musikding.de,Transistoren / Silizium universal,PNP,2,
