part,doc,page,times,near
2N3904,8,1,1,
2N5088,8,1,2,
BF245A,2,1,1,
CA3080,a,1,1,
CD4049,9,1,2,
FV1,7,1,3,
LM13600,2,1,1,
LM13600,3,1,1,
LM317,4,1,1,
MAX1044,0,1,2,
MAX1044,1,1,1,
MN3007,1,1,1,
PT2399,5,1,1,
PT2399,6,1,2,
