id,key,title,url,parent,role,year,month,pages,sha
1p,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f5_man.pdf,First Watt F5 prod f5 man,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f5_man.pdf,,schematic,,,18,d5d39f55c5a3fa61
1q,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f4_man.pdf,First Watt F4 prod f4 man,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f4_man.pdf,,schematic,,,16,b81f757d0b88497f
1r,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f3_man.pdf,First Watt F3 prod f3 man,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f3_man.pdf,,schematic,,,14,4d71c3a71b6c0d38
1s,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f1_srv.pdf,First Watt F1 prod f1 srv,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_f1_srv.pdf,,schematic,,,14,2b82e4a536a1910d
1t,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_b1_man.pdf,First Watt SEE MORE prod b1 man,https://www.firstwatt.com/wp-content/uploads/2023/08/prod_b1_man.pdf,,schematic,,,7,fe6c7aa14a398b03
2,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-fe-2022.pdf,First Watt DIY Front End 2022,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-fe-2022.pdf,,schematic,,,7,830f7f8a7b6bf71a
3,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-ps-filter-relay-2022-vor0.pdf,First Watt DIY Power Supply Filter and Thump Relay,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-ps-filter-relay-2022-vor0.pdf,,schematic,,,3,b9d8989625059295
4,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-sony-vfet-os2.pdf,First Watt Sony VFET OS2,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-sony-vfet-os2.pdf,,schematic,,,9,c46c1324b119b997
5,https://www.firstwatt.com/wp-content/uploads/2023/12/art_aca_mini.pdf,First Watt DIY ACA mini,https://www.firstwatt.com/wp-content/uploads/2023/12/art_aca_mini.pdf,,schematic,,,17,61ed330c11a4d3cd
6,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_preamp_h2v2.pdf,First Watt DIY H2 Generator v2,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_preamp_h2v2.pdf,,schematic,,,3,1f2d97f52c38705f
7,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_sony_vfet_pt2.pdf,First Watt DIY Sony VFET pt 2,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_sony_vfet_pt2.pdf,,schematic,,,6,f37de108f4e71573
8,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_sony_vfet_pt1.pdf,First Watt DIY Sony VFET pt 1,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_sony_vfet_pt1.pdf,,schematic,,,17,3d14ab7bb6520ec1
9,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-biamp_6-24_-crossover.pdf,First Watt DIY Biamp 6-24 Crossover,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy-biamp_6-24_-crossover.pdf,,schematic,,,14,bc3732675f59e460
a,https://www.firstwatt.com/wp-content/uploads/2023/12/art_acp.pdf,First Watt ACP+,https://www.firstwatt.com/wp-content/uploads/2023/12/art_acp.pdf,,schematic,,,12,e605092fcb608d2a
b,https://www.firstwatt.com/wp-content/uploads/2023/12/art_h2_v1.pdf,First Watt H2 Harmonic Generator - Revised,https://www.firstwatt.com/wp-content/uploads/2023/12/art_h2_v1.pdf,,schematic,,,10,e608f686e9944c06
c,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_nutube_preamp.pdf,First Watt DIY Nutube Preamp,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_nutube_preamp.pdf,,schematic,,,9,3a44a6a728d8ba22
d,https://www.firstwatt.com/wp-content/uploads/2023/12/art_Venerable_Triode-1.pdf,First Watt The Venerable Triode,https://www.firstwatt.com/wp-content/uploads/2023/12/art_Venerable_Triode-1.pdf,,schematic,,,10,71ac7cb838616ab2
e,https://www.firstwatt.com/wp-content/uploads/2023/12/art_h2.pdf,First Watt H2 Generator,https://www.firstwatt.com/wp-content/uploads/2023/12/art_h2.pdf,,schematic,,,10,78ad0cab476b5726
f,https://www.firstwatt.com/wp-content/uploads/2023/12/art_lxmini-crossover.pdf,First Watt LX-mini Analog Crossover,https://www.firstwatt.com/wp-content/uploads/2023/12/art_lxmini-crossover.pdf,,schematic,,,14,9a78fcef42eac618
g,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_sony_vfet.pdf,First Watt DIY Sony VFET,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_sony_vfet.pdf,,schematic,,,11,4a2561d57a471095
h,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zen_-ga10jt12.pdf,First Watt Zen With GA10JT12,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zen_-ga10jt12.pdf,,schematic,,,4,5b65a3e5257a1150
i,https://www.firstwatt.com/wp-content/uploads/2023/12/art_sony_vfet_pt2.pdf,First Watt Sony VFETs part 2,https://www.firstwatt.com/wp-content/uploads/2023/12/art_sony_vfet_pt2.pdf,,schematic,,,14,fee9df5320359db1
j,https://www.firstwatt.com/wp-content/uploads/2023/12/art_sony_vfet_pt1.pdf,First Watt Sony VFETs part 1,https://www.firstwatt.com/wp-content/uploads/2023/12/art_sony_vfet_pt1.pdf,,schematic,,,13,6fc23c51460e0ffb
k,https://www.firstwatt.com/wp-content/uploads/2023/12/art_sony_vfet_40yr.pdf,First Watt Sony VFET 40 Year Commemorative Amplifier,https://www.firstwatt.com/wp-content/uploads/2023/12/art_sony_vfet_40yr.pdf,,schematic,,,10,1d1a39bc22df8192
